CustomerID,Recency,Frequency,Monetary,recency_labels,frequency_labels,monetary_labels,rfm_segment,rfm_score,Cluster_Id
12346.0,327,2,0.0,medium,lowest,smallest,medium-lowest-smallest,5,0
12347.0,41,7,4310.0,newest,lowest,smallest,newest-lowest-smallest,7,1
12348.0,77,4,1797.24,newest,lowest,smallest,newest-lowest-smallest,7,2
12349.0,20,1,1757.55,newest,lowest,smallest,newest-lowest-smallest,7,2
12350.0,312,1,334.4,medium,lowest,smallest,medium-lowest-smallest,5,0
12352.0,74,11,1545.41,newest,lowest,smallest,newest-lowest-smallest,7,2
12353.0,205,1,89.0,newer,lowest,smallest,newer-lowest-smallest,6,0
12354.0,234,1,1079.4,newer,lowest,smallest,newer-lowest-smallest,6,0
12355.0,97,1,459.4,newest,lowest,smallest,newest-lowest-smallest,7,0
12356.0,24,3,2811.43,newest,lowest,smallest,newest-lowest-smallest,7,2
12357.0,183,1,6207.67,newer,lowest,smallest,newer-lowest-smallest,6,0
12358.0,4,2,1168.06,newest,lowest,smallest,newest-lowest-smallest,7,2
12359.0,10,6,6182.9800000000005,newest,lowest,smallest,newest-lowest-smallest,7,1
12360.0,54,3,2662.06,newest,lowest,smallest,newest-lowest-smallest,7,2
12361.0,289,1,189.9,medium,lowest,smallest,medium-lowest-smallest,5,0
12362.0,13,13,5154.58,newest,lowest,smallest,newest-lowest-smallest,7,1
12363.0,37,2,552.0,newest,lowest,smallest,newest-lowest-smallest,7,2
12364.0,42,4,1313.1,newest,lowest,smallest,newest-lowest-smallest,7,2
12365.0,293,3,320.69,medium,lowest,smallest,medium-lowest-smallest,5,0
12367.0,213,1,168.9,newer,lowest,smallest,newer-lowest-smallest,6,0
12370.0,53,4,3541.94,newest,lowest,smallest,newest-lowest-smallest,7,2
12371.0,31,2,1887.96,newest,lowest,smallest,newest-lowest-smallest,7,2
12372.0,36,3,1298.04,newest,lowest,smallest,newest-lowest-smallest,7,2
12373.0,343,1,364.6,medium,lowest,smallest,medium-lowest-smallest,5,0
12374.0,27,1,742.9300000000001,newest,lowest,smallest,newest-lowest-smallest,7,0
12375.0,12,3,455.42,newest,lowest,smallest,newest-lowest-smallest,7,2
12377.0,317,2,1628.12,medium,lowest,smallest,medium-lowest-smallest,5,0
12378.0,306,1,4008.62,medium,lowest,smallest,medium-lowest-smallest,5,0
12379.0,83,3,850.29,newest,lowest,smallest,newest-lowest-smallest,7,0
12380.0,23,5,2720.56,newest,lowest,smallest,newest-lowest-smallest,7,2
12381.0,1,6,1803.96,newest,lowest,smallest,newest-lowest-smallest,7,2
12383.0,10,6,1839.31,newest,lowest,smallest,newest-lowest-smallest,7,2
12384.0,30,3,566.16,newest,lowest,smallest,newest-lowest-smallest,7,2
12386.0,193,2,401.9,newer,lowest,smallest,newer-lowest-smallest,6,0
12388.0,17,6,2780.66,newest,lowest,smallest,newest-lowest-smallest,7,2
12390.0,81,1,549.84,newest,lowest,smallest,newest-lowest-smallest,7,0
12391.0,23,1,439.66,newest,lowest,smallest,newest-lowest-smallest,7,0
12393.0,40,4,1582.6000000000001,newest,lowest,smallest,newest-lowest-smallest,7,2
12394.0,154,2,1272.48,newer,lowest,smallest,newer-lowest-smallest,6,0
12395.0,6,15,2998.28,newest,lowest,smallest,newest-lowest-smallest,7,1
12397.0,137,2,2409.9,newest,lowest,smallest,newest-lowest-smallest,7,0
12398.0,47,1,1635.6599999999999,newest,lowest,smallest,newest-lowest-smallest,7,0
12399.0,3,4,1108.65,newest,lowest,smallest,newest-lowest-smallest,7,2
12401.0,100,1,84.3,newest,lowest,smallest,newest-lowest-smallest,7,0
12402.0,325,1,225.6,medium,lowest,smallest,medium-lowest-smallest,5,0
12403.0,51,2,409.7,newest,lowest,smallest,newest-lowest-smallest,7,0
12405.0,150,1,1710.39,newer,lowest,smallest,newer-lowest-smallest,6,0
12406.0,23,3,3280.75,newest,lowest,smallest,newest-lowest-smallest,7,2
12407.0,51,5,1708.1200000000001,newest,lowest,smallest,newest-lowest-smallest,7,2
12408.0,129,9,2842.57,newest,lowest,smallest,newest-lowest-smallest,7,2
12409.0,66,7,11056.93,newest,lowest,smallest,newest-lowest-smallest,7,1
12410.0,39,3,681.0799999999999,newest,lowest,smallest,newest-lowest-smallest,7,2
12412.0,76,3,1226.88,newest,lowest,smallest,newest-lowest-smallest,7,2
12413.0,10,5,694.15,newest,lowest,smallest,newest-lowest-smallest,7,2
12414.0,189,3,562.41,newer,lowest,smallest,newer-lowest-smallest,6,0
12417.0,41,12,3578.8,newest,lowest,smallest,newest-lowest-smallest,7,1
12418.0,114,1,668.58,newest,lowest,smallest,newest-lowest-smallest,7,0
12420.0,154,1,600.39,newer,lowest,smallest,newer-lowest-smallest,6,0
12421.0,17,5,806.27,newest,lowest,smallest,newest-lowest-smallest,7,2
12422.0,170,3,803.5600000000001,newer,lowest,smallest,newer-lowest-smallest,6,0
12423.0,90,9,1849.11,newest,lowest,smallest,newest-lowest-smallest,7,2
12424.0,164,2,1760.96,newer,lowest,smallest,newer-lowest-smallest,6,0
12425.0,79,1,777.2,newest,lowest,smallest,newest-lowest-smallest,7,0
12426.0,196,1,582.73,newer,lowest,smallest,newer-lowest-smallest,6,0
12427.0,13,5,708.37,newest,lowest,smallest,newest-lowest-smallest,7,2
12428.0,27,12,7877.2,newest,lowest,smallest,newest-lowest-smallest,7,1
12429.0,10,4,3750.4,newest,lowest,smallest,newest-lowest-smallest,7,2
12430.0,45,1,256.4,newest,lowest,smallest,newest-lowest-smallest,7,0
12431.0,3,18,6348.89,newest,lowest,smallest,newest-lowest-smallest,7,1
12432.0,44,5,5059.32,newest,lowest,smallest,newest-lowest-smallest,7,1
12433.0,11,7,13375.87,newest,lowest,smallest,newest-lowest-smallest,7,1
